minute_index,resp_mean,resp_std,resp_min,resp_max,emg_mean,emg_std,emg_min,emg_max,temp_mean,temp_std,temp_min,temp_max,stage,is_light_stage,is_deep_stage,is_sleep_stage,minutes_since_start,clock_minutes,proxy_stress,proxy_body_battery,proxy_motion,proxy_light_sleep_score
0,118.51666666666667,429.94416271831807,-900.0,877.0,3.4574000000000003,0.09009646681936723,3.266,3.642,37.21435483870968,0.028990960272931198,37.159139784946234,37.31935483870968,Sleep stage W,False,False,False,0,0,0.0,100.0,215.0621778259784,0.15
1,97.61666666666666,394.0268219155758,-742.0,683.0,3.4284666666666666,0.07111808646344618,3.286,3.652,37.21256272401434,0.017965348714906557,37.17311827956989,37.255913978494625,Sleep stage W,False,False,False,1,1,0.0,99.97356495468279,197.08452904425135,0.15
2,194.63333333333333,354.6859628209471,-520.0,941.0,3.385,0.06960603422117949,3.216,3.532,37.202562724014335,0.017550385176267745,37.160215053763444,37.23870967741936,Sleep stage W,False,False,False,2,2,0.0,99.94712990936556,177.41258744469474,0.15
3,905.5666666666667,761.893088883794,-436.0,1806.0,3.4367666666666667,0.07893718318314191,3.236,3.618,37.190483870967746,0.01918867843802747,37.155913978494624,37.23763440860215,Sleep stage W,False,False,False,3,3,0.0,99.92069486404834,381.02548162508015,0.15
4,514.1166666666667,118.38117694783887,358.0,816.0,3.4392,0.07782304714328939,3.278,3.612,37.19670250896058,0.015113637543592271,37.16881720430108,37.24301075268817,Sleep stage W,False,False,False,4,4,0.0,99.89425981873111,59.268411521062724,0.27175914506912957
5,320.3333333333333,33.99248282913278,245.0,392.0,3.3991333333333333,0.05708749619857414,3.254,3.5220000000000002,37.20232974910394,0.01854869010886046,37.16451612903226,37.24193548387097,Sleep stage W,False,False,False,5,5,0.0,99.8678247734139,17.053328910764964,0.3274877207073213
6,271.03333333333336,20.684105545616955,224.0,317.0,3.3744666666666663,0.05837621281157447,3.242,3.496,37.21405017921147,0.01804708438114543,37.170967741935485,37.26129032258064,Sleep stage W,False,False,False,6,6,0.0,99.84138972809667,10.400428985620051,0.3362702840417187
7,238.3,24.787967511140028,174.0,275.0,3.428433333333333,0.05220867318325141,3.3240000000000003,3.528,37.21485663082437,0.0160157210537676,37.16881720430108,37.25376344086021,Sleep stage W,False,False,False,7,7,0.0,99.81495468277946,12.446192428753266,0.333569650151435
8,214.41666666666666,18.962499542225142,163.0,250.0,3.397,0.06271894982113985,3.2680000000000002,3.5180000000000002,37.22146953405018,0.015449192880811875,37.186021505376345,37.2494623655914,Sleep stage W,False,False,False,8,8,0.0,99.78851963746223,9.54396872093371,0.33740090626700925
9,208.36666666666667,14.348015735827577,173.0,244.0,3.4638666666666666,0.06781137236645662,3.302,3.612,37.22849462365591,0.015137376600562394,37.19892473118279,37.26881720430107,Sleep stage W,False,False,False,9,9,0.0,99.76208459214502,7.241819240280245,0.3404399980685665
10,192.96666666666667,21.382209635322766,144.0,251.0,3.4534000000000002,0.05537905741343024,3.37,3.598,37.23989247311828,0.015613875775668182,37.20967741935484,37.2763440860215,Sleep stage W,False,False,False,10,10,0.0,99.7356495468278,10.746483875074814,0.3358134533336049
11,177.9,23.108944877110545,124.0,230.0,3.42,0.05194869263674184,3.282,3.512,37.240752688172044,0.013865965589685598,37.20645161290322,37.274193548387096,Sleep stage W,False,False,False,11,11,0.0,99.70921450151057,11.606421131192015,0.33467824109526767
12,175.91666666666666,22.51095412361625,127.0,217.0,3.4152666666666667,0.06045931598098733,3.27,3.5380000000000003,37.24978494623656,0.015400887748140355,37.21827956989247,37.28279569892473,Sleep stage W,False,False,False,12,12,0.0,99.68277945619336,11.315936377789113,0.3350617130808894
13,169.6,18.990523952750753,125.0,216.0,3.411966666666667,0.052752872486297446,3.294,3.5180000000000002,37.261272401433686,0.013518045998064637,37.236559139784944,37.28817204301075,Sleep stage W,False,False,False,13,13,0.0,99.65634441087613,9.548014848861675,0.3373955649308722
14,154.25,20.034657471491755,103.0,210.0,3.4409,0.06144637228239489,3.3240000000000003,3.586,37.2615770609319,0.012673989197719714,37.22043010752688,37.295698924731184,Sleep stage W,False,False,False,14,14,0.0,99.62990936555892,10.078775108028273,0.33669490271680613
15,149.7,22.42119532941988,106.0,189.0,3.4431333333333334,0.04822083459345036,3.344,3.5460000000000003,37.25818996415771,0.014787835060453836,37.2247311827957,37.306451612903224,Sleep stage W,False,False,False,15,15,0.0,99.60347432024169,11.258818499303391,0.3351371149944867
16,149.96666666666667,16.685289595595545,106.0,192.0,3.4622333333333333,0.062181553177413744,3.346,3.608,37.24498207885304,0.01642050455289638,37.196774193548386,37.27956989247312,Sleep stage W,False,False,False,16,16,0.0,99.57703927492447,8.404826350975187,0.33890470011985885
17,138.63333333333333,17.012707668746383,83.0,169.0,3.4339333333333335,0.06339397097165918,3.3040000000000003,3.576,37.23537634408602,0.015886710145759615,37.193548387096776,37.28387096774193,Sleep stage W,False,False,False,17,17,0.0,99.55060422960725,8.569747805344852,0.3386869855691366
18,148.58333333333334,21.741122070603655,105.0,203.0,3.4751,0.0702988145940836,3.352,3.624,37.22354838709678,0.015862432261034776,37.193548387096776,37.25483870967742,Sleep stage W,False,False,False,18,18,0.0,99.52416918429003,10.940859849895912,0.3355568555598883
19,147.78333333333333,18.320381788840784,97.0,188.0,3.4756666666666667,0.0924973272887144,3.2560000000000002,3.624,37.214444444444446,0.014377228275978886,37.18387096774194,37.24623655913979,Sleep stage W,False,False,False,19,19,0.0,99.49773413897282,9.252688221709107,0.3377854287250799
20,146.98333333333332,18.996044909986452,107.0,190.0,3.5033333333333334,0.08713259372295136,3.082,3.648,37.21917562724014,0.01796285469276422,37.181720430107525,37.255913978494625,Sleep stage W,False,False,False,20,20,0.0,99.47129909365559,9.585155048716178,0.33734653576146567
